text,font_size,is_bold,y_position,word_count,char_count,ends_colon,all_upper,label
Application form for grant of LTC advance,11.670000076293944,1,106.07516479492188,7,41,False,False,title
Name of the Government Servant,9.744400024414062,0,132.9877166748047,5,30,False,False,O
Designation,9.744400024414062,0,151.0441131591797,1,11,False,False,O
Date of entering the Central Government,9.744400024414062,0,169.1589813232422,6,39,False,False,O
Service,9.744400024414062,0,186.73789978027344,1,7,False,False,O
PAY + SI + NPA,9.744400024414062,0,204.8527069091797,5,14,False,True,O
Whether permanent or temporary,9.744400024414062,0,222.9091033935547,4,30,False,False,O
Home Town as recorded in the Service Book,9.744400024414062,0,241.09214782714844,8,41,False,False,O
Whether wife / husband is employed and if,9.744400024414062,0,253.27268981933597,8,41,False,False,O
so whether entitled to LTC,9.744400024414062,0,270.85162353515625,5,26,False,False,O
Whether the concession is to be availed for,9.744400024414062,0,288.9761962890625,8,43,False,False,O
visiting home town and if so block for which,9.744400024414062,0,306.5551147460937,9,44,False,False,O
LTC is to be availed,9.744400024414062,0,324.1924743652344,5,20,False,False,O
(a) If the concession is to visit anywhere in,9.744400024414062,0,342.24884033203125,9,45,False,False,O
"India, the place to be visited",9.744400024414062,0,359.8861999511719,6,30,False,False,O
(b) Block for which to be availed,9.744400024414062,0,377.465087890625,7,33,False,False,O
Single,9.744400024414062,0,395.5896606445313,1,6,False,False,O
fare/bus,9.744400024414062,0,395.5896606445313,1,8,False,False,O
headquarters to home town/place of visit by,9.744400024414062,0,413.1685485839844,7,43,False,False,O
shortest route,9.744400024414062,0,430.7474365234375,2,14,False,False,O
Persons in respect of whom LTC is proposed to be availed,9.744400024414062,0,448.9304809570313,11,56,False,False,O
Relationship,9.744400024414062,1,464.0538024902344,1,12,False,False,O
12. Amount of advance required,9.744400024414062,1,561.1275024414062,5,30,False,False,O
I declare that the particulars furnished above are true and correct to the best of my knowledge. I,9.744400024414062,0,596.8309936523438,18,98,False,False,O
undertake to produce the tickets for the outward journey within ten days of receipt of the advance,9.744400024414062,0,608.5339965820312,17,98,False,False,O
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,0,632.0570068359375,22,109,False,False,O
"advance, I undertake to refund the entire advance in one lump sum",9.744400024414062,0,643.8184814453125,12,65,False,False,O
Signature of Government Servant,9.744400024414062,1,690.73779296875,4,31,False,False,O
Overview,24.0,1,185.6600341796875,1,8,False,False,title
Foundation Level Extensions,24.0,1,240.884033203125,3,27,False,False,title
Version 1.0,12.0,0,380.3900146484375,2,11,False,False,O
International Software Testing Qualifications Board,18.0,0,462.6399841308594,5,51,False,False,O
Copyright Notice,9.960000038146973,0,650.593017578125,2,16,False,False,O
"This document may be copied in its entirety, or extracts made, if the source is acknowledged",9.960000038146973,0,662.11669921875,16,92,False,False,O
International,9.960000038146973,0,36.933013916015625,1,13,False,False,O
